#,"What range your age is in?","How do you identify your gender?","Do you have any food intolerance, allergy or preference?",Other,"What is your preferred language when attending talks or workshops?","Which of these choices would match better with your current occupation?","How would you rate, in general, the XXL Meetup?","How appropriate was the duration of the talks at the XXL Meetup?","How appropriate was the depth of the talks at the XXL Meetup?","Learning Representations with Deep Learning in Tensorflow","Road Towards Web for Everyone - A11y in a Django Project","Citybikes: a tale of python and bike sharing","How would you rate the XXL Meetup's venue?","How would you rate the XXL Meetup's refreshment?","How would you rate, in general, the PyDay event?","How appropriate was the duration of the workshops at the PyDay?","How appropriate was the depth of the workshops at the PyDay?","Python Programming Introduction Course","Introduction to Jupyter","Introduction to Web Development with Django",Testing,"Serverless deployment in AWS with Zappa","Asyncio from the theory to the practice","Workshop on MondoDB with Python","How would you rate the PyDay's venue?","How would you rate the PyDay's lunch and coffee breaks?","How would you rate the whole event's web and the information provided there?","Are there any subjects you would like to hear about at future events?","Are there any speakers, companies or organizations that you would like to have present at a future events?","How did you hear of this event?",Other,"Do you have any other comment to share with us?","Start Date (UTC)","Submit Date (UTC)","Network ID"
fbe212fe21b4dfb3be77668d850be5ac,"41 to 50 years old",Male,None,,Spanish,"IT related",4,5,3,4,4,5,4,3,4,2,4,,,,4,,4,4,4,5,4,,,"From email at PyBCN's mailing list",,,"2016-09-28 04:04:14","2016-09-28 04:07:53",654ed942da
55eb8e4a2b73fc694191b63e99f0d700,"31 to 40 years old",Male,Veggie,,Spanish,Unemployed,5,2,2,4,,,5,5,5,2,2,,,,5,2,4,,,,,"use of odoo openERP",odoo,"From email at PyBCN's mailing list",,,"2016-09-28 04:15:52","2016-09-28 04:21:06",c361446803
0fcf0d5e259abe12d6118e89ed9aacc7,"20 to 30 years old",Female,Veggie,,English,"Science related",,,,,,,,,4,4,3,3,2,3,,,,,1,4,4,,,"From PyLadies BCN twitter account",,,"2016-09-28 05:04:24","2016-09-28 05:07:13",4b99439fb4
15954e41495d88f1c49fb7879034571b,"31 to 40 years old",Male,None,,English,"Science related",6,3,3,5,5,5,5,2,6,3,3,5,,5,,,,,5,5,5,,,Colleague/Friend,,,"2016-09-28 05:12:15","2016-09-28 05:15:40",0b87ffb31f
b25d4ee46ccfeda7d2ea51773e72d666,"31 to 40 years old",Male,None,,English,"IT related",4,3,6,4,1,2,3,5,5,3,6,3,,,,,,1,5,5,5,,,Colleague/Friend,,,"2016-09-28 05:27:31","2016-09-28 05:38:57",dc680b853b
df7678143c22c269209edb2ba2f224f3,"51 to 60 years old",Male,None,,English,"Science related",3,4,4,2,1,4,3,4,4,,,,,,,,,,,,,,,"From email at PyBCN's mailing list",,,"2016-09-28 05:40:14","2016-09-28 05:43:52",caf4ab6cef
62fc915a2cb54c33534009b6eee1d6fd,"Less than 20 years old",Male,None,,English,Student,4,4,2,3,3,4,4,2,5,5,5,,,,,,,3,4,4,4,,,"From email at PyBCN's mailing list",,,"2016-09-28 05:46:57","2016-09-28 05:49:55",3fb4b70fc4
d0690d0ebd4850786c7b10760625bfcc,"20 to 30 years old",Male,None,,English,"IT related",6,4,6,2,5,5,5,4,6,,,,,,,,,,,,,,,"From email at PyBCN's mailing list",,,"2016-09-28 06:13:49","2016-09-28 06:21:06",07b9648a87
8f2a195472a883cb3c3ddc8e393068c3,"31 to 40 years old",Male,None,,English,"Science related",5,3,3,5,1,5,5,3,5,,,,,,,,,,,,,,,"From email at PyBCN's mailing list",,,"2016-09-28 06:38:00","2016-09-28 06:41:26",d988a42b00
112b809f20fecb48547ba25af1cef5d5,"31 to 40 years old",Male,None,,Catalan,"IT related",4,4,4,4,1,4,3,3,4,4,2,2,,,,,,1,4,5,4,,,Colleague/Friend,,"Python Programming Introduction Course was an Introduction to Programming. Teacher was fine but for people without any programming experience.","2016-09-28 06:48:35","2016-09-28 06:53:45",eeb5ede62c
